Top 50 Sort By Count
Count    Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 2189   13.383  0.0061  0.0133  0.000  0.129  0.338    874  1315    0    0     1005100          0        459       1150  GET /favicon.ico HTTP/2
  829    4.736  0.0057  0.0079  0.000  0.060  0.060     20   809    0    0        7820          0          9        391  GET /contestant HTTP/2
  175    0.803  0.0046  0.0098  0.000  0.076  0.076      1   174    0    0         386          0          2        386  GET /admin/clarifications HTTP/2
  818    3.049  0.0037  0.0069  0.000  0.056  0.056    811     7    0    0      315479          0        385        389  GET / HTTP/2
    1    0.002  0.0020  0.0000  0.002  0.002  0.002      1     0    0    0           0          0          0          0  GET /api/audience/teams HTTP/2
    6    0.009  0.0015  0.0011  0.001  0.004  0.004      4     0    2    0         274          0         45        137  POST /api/login HTTP/2

Top 50 Sort By Standard Deviation
Count    Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1822  510.656  0.2803  0.2199  0.007  0.637  0.671   1822     0    0    0       70231          5         38         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
   32   14.292  0.4466  0.1946  0.002  0.610  0.610     11     0   21    0        1453          2         45         91  POST /api/registration/team HTTP/2
   11    2.304  0.2095  0.1636  0.003  0.498  0.498     11     0    0    0        5283        438        480        493  GET /api/registration/session HTTP/2
  178   18.280  0.1027  0.1222  0.001  0.600  0.600    176     0    2    0     2745256          0      15422      51599  GET /api/admin/clarifications HTTP/2
  122   11.564  0.0948  0.1043  0.002  0.626  0.626    120     0    2    0       51727         61        423        491  put /api/admin/clarifications/:id
   57    3.326  0.0584  0.0954  0.001  0.567  0.567     56     0    1    0          77          0          1         77  POST /api/signup HTTP/2
    3    1.265  0.4217  0.0551  0.370  0.498  0.498      3     0    0    0          84         28         28         28  POST /initialize HTTP/2
  289   15.753  0.0545  0.0538  0.003  0.465  0.465    287     0    2    0     1203316          0       4163       9269  GET /api/contestant/clarifications HTTP/2
 1331   67.530  0.0507  0.0365  0.004  0.259  0.265   1329     0    2    0    38092835         61      28619      55120  GET /api/contestant/dashboard HTTP/2
 6546   79.263  0.0121  0.0315  0.000  0.422  0.428   2631  3915    0    0   637623313          0      97406     492294  get /packs/.*
  122    4.713  0.0386  0.0296  0.003  0.187  0.187    120     0    2    0       45236         61        370        424  POST /api/contestant/clarifications HTTP/2
 1379   21.272  0.0154  0.0283  0.000  0.428  0.593   1377     0    0    2      509717         34        369        468  GET /api/session HTTP/2
 4392  129.572  0.0295  0.0282  0.002  0.332  0.400   4392     0    0    0       77408          0         17         74  get /api/contestant/notifications?.*
21365  205.622  0.0096  0.0265  0.000  0.382  0.416  21354     0    0   11   790986026          2      37022      55120  GET /api/audience/dashboard HTTP/2
 1321   32.586  0.0247  0.0225  0.001  0.167  0.227   1319     0    2    0    15142321          0      11462      26375  GET /api/contestant/benchmark_jobs HTTP/2
  825   27.390  0.0332  0.0183  0.002  0.227  0.227    820     0    5    0       47545         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  287    2.785  0.0097  0.0178  0.000  0.143  0.143     10   277    0    0        3910          0         13        391  GET /contestant/clarifications HTTP/2
   24    0.789  0.0329  0.0152  0.002  0.058  0.058     22     0    2    0         152          0          6         97  POST /api/registration/contestant HTTP/2
 2189   13.383  0.0061  0.0133  0.000  0.129  0.338    874  1315    0    0     1005100          0        459       1150  GET /favicon.ico HTTP/2
  948    8.024  0.0085  0.0117  0.002  0.105  0.105    946     0    2    0         775          0          0         61  GET /api/contestant/notifications HTTP/2
  813    8.404  0.0103  0.0116  0.001  0.100  0.100    811     0    2    0      224398         61        276        311  get /api/contestant/benchmark_jobs/:id
  175    0.803  0.0046  0.0098  0.000  0.076  0.076      1   174    0    0         386          0          2        386  GET /admin/clarifications HTTP/2
   24    0.234  0.0098  0.0090  0.000  0.035  0.035     24     0    0    0        9336        389        389        389  get /registration?
  122    1.784  0.0146  0.0086  0.002  0.046  0.046    120     0    2    0       45242         61        370        424  get /api/admin/clarifications/:id
  829    4.736  0.0057  0.0079  0.000  0.060  0.060     20   809    0    0        7820          0          9        391  GET /contestant HTTP/2
   56    0.585  0.0104  0.0075  0.000  0.025  0.025     55     1    0    0       21395          0        382        389  GET /signup HTTP/2
  818    3.049  0.0037  0.0069  0.000  0.056  0.056    811     7    0    0      315479          0        385        389  GET / HTTP/2
    6    0.009  0.0015  0.0011  0.001  0.004  0.004      4     0    2    0         274          0         45        137  POST /api/login HTTP/2
    1    0.002  0.0020  0.0000  0.002  0.002  0.002      1     0    0    0           0          0          0          0  GET /api/audience/teams HTTP/2

Top 50 Sort By Maximum(100 Percentile)
Count    Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1822  510.656  0.2803  0.2199  0.007  0.637  0.671   1822     0    0    0       70231          5         38         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  122   11.564  0.0948  0.1043  0.002  0.626  0.626    120     0    2    0       51727         61        423        491  put /api/admin/clarifications/:id
   32   14.292  0.4466  0.1946  0.002  0.610  0.610     11     0   21    0        1453          2         45         91  POST /api/registration/team HTTP/2
  178   18.280  0.1027  0.1222  0.001  0.600  0.600    176     0    2    0     2745256          0      15422      51599  GET /api/admin/clarifications HTTP/2
 1379   21.272  0.0154  0.0283  0.000  0.428  0.593   1377     0    0    2      509717         34        369        468  GET /api/session HTTP/2
   57    3.326  0.0584  0.0954  0.001  0.567  0.567     56     0    1    0          77          0          1         77  POST /api/signup HTTP/2
   11    2.304  0.2095  0.1636  0.003  0.498  0.498     11     0    0    0        5283        438        480        493  GET /api/registration/session HTTP/2
    3    1.265  0.4217  0.0551  0.370  0.498  0.498      3     0    0    0          84         28         28         28  POST /initialize HTTP/2
  289   15.753  0.0545  0.0538  0.003  0.465  0.465    287     0    2    0     1203316          0       4163       9269  GET /api/contestant/clarifications HTTP/2
 6546   79.263  0.0121  0.0315  0.000  0.422  0.428   2631  3915    0    0   637623313          0      97406     492294  get /packs/.*
21365  205.622  0.0096  0.0265  0.000  0.382  0.416  21354     0    0   11   790986026          2      37022      55120  GET /api/audience/dashboard HTTP/2
 4392  129.572  0.0295  0.0282  0.002  0.332  0.400   4392     0    0    0       77408          0         17         74  get /api/contestant/notifications?.*
 2189   13.383  0.0061  0.0133  0.000  0.129  0.338    874  1315    0    0     1005100          0        459       1150  GET /favicon.ico HTTP/2
 1331   67.530  0.0507  0.0365  0.004  0.259  0.265   1329     0    2    0    38092835         61      28619      55120  GET /api/contestant/dashboard HTTP/2
  825   27.390  0.0332  0.0183  0.002  0.227  0.227    820     0    5    0       47545         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1321   32.586  0.0247  0.0225  0.001  0.167  0.227   1319     0    2    0    15142321          0      11462      26375  GET /api/contestant/benchmark_jobs HTTP/2
  122    4.713  0.0386  0.0296  0.003  0.187  0.187    120     0    2    0       45236         61        370        424  POST /api/contestant/clarifications HTTP/2
  287    2.785  0.0097  0.0178  0.000  0.143  0.143     10   277    0    0        3910          0         13        391  GET /contestant/clarifications HTTP/2
  948    8.024  0.0085  0.0117  0.002  0.105  0.105    946     0    2    0         775          0          0         61  GET /api/contestant/notifications HTTP/2
