Top 50 Sort By Count
Count      Total    Mean  Stddev      Min    P99.9      Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  115      5.626  0.0489  0.0900    0.001    0.511    0.511   113     0    2    0      587709          0       5110      23183  GET /api/admin/clarifications HTTP/2
 1897    111.845  0.0590  0.0798    0.001    0.871    0.885  1897     0    0    0       26272          0         13         73  get /api/contestant/notifications?.*
  587     15.297  0.0261  0.0417    0.000    0.356    0.356   587     0    0    0      186907         34        318        467  GET /api/session HTTP/2
 2559     52.924  0.0207  0.0330    0.000    0.291    0.297   972  1587    0    0   231371817          0      90414     492294  get /packs/.*
  270      7.346  0.0272  0.0323    0.001    0.202    0.202   268     0    2    0       73976         61        273        310  get /api/contestant/benchmark_jobs/:id
  113      1.482  0.0131  0.0281    0.000    0.189    0.189     1   112    0    0         386          0          3        386  GET /admin/clarifications HTTP/2
   56      1.620  0.0289  0.0254    0.002    0.100    0.100    54     0    2    0       20312         61        362        406  get /api/admin/clarifications/:id
  114      2.363  0.0207  0.0238    0.000    0.131    0.131    10   104    0    0        3910          0         34        391  GET /contestant/clarifications HTTP/2
  991      6.620  0.0067  0.0233    0.001    0.323    0.323   989     0    2    0         782          0          0         61  GET /api/contestant/notifications HTTP/2
  288      4.900  0.0170  0.0229    0.000    0.190    0.190    20   268    0    0        7820          0         27        391  GET /contestant HTTP/2
    2      0.228  0.1140  0.0200    0.094    0.134    0.134     2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  854      9.998  0.0117  0.0198    0.000    0.299    0.299   315   539    0    0      362250          0        424       1150  GET /favicon.ico HTTP/2
   47      1.094  0.0233  0.0164    0.000    0.064    0.064    46     0    1    0          77          0          1         77  POST /api/signup HTTP/2
  269      2.353  0.0087  0.0151    0.000    0.183    0.183   268     1    0    0      104252          0        387        389  GET / HTTP/2
   24      0.430  0.0179  0.0106    0.002    0.039    0.039    22     0    2    0         152          0          6         97  POST /api/registration/contestant HTTP/2
   46      0.353  0.0077  0.0077    0.000    0.025    0.025    45     1    0    0       17505          0        380        389  GET /signup HTTP/2
   24      0.318  0.0133  0.0067    0.000    0.023    0.023    24     0    0    0        9336        389        389        389  get /registration?
    4      0.004  0.0010  0.0000    0.001    0.001    0.001     2     0    2    0         274          0         68        137  POST /api/login HTTP/2

Top 50 Sort By Maximum(100 Percentile)
Count      Total    Mean  Stddev      Min    P99.9      Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  530   1627.398  3.0706  21.5285    0.003  158.341  158.341   528     0    2    0     6366646         61      12012      19890  GET /api/contestant/dashboard HTTP/2
  522    349.359  0.6693  9.7777    0.002  158.336  158.336   520     0    2    0     2158538          0       4135       8281  GET /api/contestant/benchmark_jobs HTTP/2
 4119  17639.147  4.2824  25.5970    0.000  158.272  158.305  4117     0    0    2    63532545          2      15424      25122  GET /api/audience/dashboard HTTP/2
  780    306.912  0.3935  0.2961    0.001    1.599    1.599   780     0    0    0       24566          5         31         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
   56      4.670  0.0834  0.1851    0.002    0.975    0.975    54     0    2    0       20306         61        362        406  POST /api/contestant/clarifications HTTP/2
 1897    111.845  0.0590  0.0798    0.001    0.871    0.885  1897     0    0    0       26272          0         13         73  get /api/contestant/notifications?.*
  284     14.285  0.0503  0.0949    0.002    0.646    0.646   279     0    5    0       16407         53         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  115      5.626  0.0489  0.0900    0.001    0.511    0.511   113     0    2    0      587709          0       5110      23183  GET /api/admin/clarifications HTTP/2
  116      9.182  0.0792  0.1048    0.004    0.457    0.457   114     0    2    0      212142          0       1828       4075  GET /api/contestant/clarifications HTTP/2
   56      6.735  0.1203  0.1278    0.002    0.408    0.408    54     0    2    0       23311         61        416        482  put /api/admin/clarifications/:id
  587     15.297  0.0261  0.0417    0.000    0.356    0.356   587     0    0    0      186907         34        318        467  GET /api/session HTTP/2
  991      6.620  0.0067  0.0233    0.001    0.323    0.323   989     0    2    0         782          0          0         61  GET /api/contestant/notifications HTTP/2
   22      1.902  0.0865  0.0957    0.002    0.323    0.323    11     0   11    0         783          2         35         91  POST /api/registration/team HTTP/2
   11      1.839  0.1672  0.1429    0.002    0.323    0.323    11     0    0    0        5294        443        481        498  GET /api/registration/session HTTP/2
  854      9.998  0.0117  0.0198    0.000    0.299    0.299   315   539    0    0      362250          0        424       1150  GET /favicon.ico HTTP/2
 2559     52.924  0.0207  0.0330    0.000    0.291    0.297   972  1587    0    0   231371817          0      90414     492294  get /packs/.*
  270      7.346  0.0272  0.0323    0.001    0.202    0.202   268     0    2    0       73976         61        273        310  get /api/contestant/benchmark_jobs/:id
  288      4.900  0.0170  0.0229    0.000    0.190    0.190    20   268    0    0        7820          0         27        391  GET /contestant HTTP/2
  113      1.482  0.0131  0.0281    0.000    0.189    0.189     1   112    0    0         386          0          3        386  GET /admin/clarifications HTTP/2
  269      2.353  0.0087  0.0151    0.000    0.183    0.183   268     1    0    0      104252          0        387        389  GET / HTTP/2
    2      0.228  0.1140  0.0200    0.094    0.134    0.134     2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  114      2.363  0.0207  0.0238    0.000    0.131    0.131    10   104    0    0        3910          0         34        391  GET /contestant/clarifications HTTP/2
   56      1.620  0.0289  0.0254    0.002    0.100    0.100    54     0    2    0       20312         61        362        406  get /api/admin/clarifications/:id
   47      1.094  0.0233  0.0164    0.000    0.064    0.064    46     0    1    0          77          0          1         77  POST /api/signup HTTP/2
   24      0.430  0.0179  0.0106    0.002    0.039    0.039    22     0    2    0         152          0          6         97  POST /api/registration/contestant HTTP/2
   46      0.353  0.0077  0.0077    0.000    0.025    0.025    45     1    0    0       17505          0        380        389  GET /signup HTTP/2
   24      0.318  0.0133  0.0067    0.000    0.023    0.023    24     0    0    0        9336        389        389        389  get /registration?
